,mean_abs_attribution
syllables__median_fix_dur,0.08923884603554151
syllables__mean_sacc_dur,0.08499651884251161
pseudo__median_fix_dur,0.07815809163600891
syllables__mean_fix_disp,0.0703451780505936
pseudo__return_sweep_count,0.06788023202077018
syllables__return_sweep_count,0.06201231920037901
meaningful__return_sweep_count,0.05704379032315672
meaningful__regression_ratio,0.05662251346939083
syllables__regression_ratio,0.052795884248905786
meaningful__median_fix_dur,0.05028232859949848
pseudo__mean_fix_disp,0.04900542466050777
pseudo__mean_sacc_dur,0.044990127385874434
meaningful__mean_sacc_dur,0.04444576745238154
syllables__total_fix_dur_ms,0.04432563106573632
meaningful__sacc_count,0.04284549348571261
pseudo__mean_fix_dur,0.04146149757457139
syllables__mean_fix_dur,0.04098032633909329
syllables__std_fix_dur,0.0399629414489109
pseudo__total_fix_dur_ms,0.03896437780969124
pseudo__between_line_regression_count,0.03846882610966142
pseudo__total_read_time_ms,0.03836055853674534
meaningful__mean_fix_disp,0.03767026995701385
pseudo__mean_sacc_avg_vel,0.037376733312686136
meaningful__total_fix_dur_ms,0.036722063497707076
pseudo__mean_sacc_peak_vel,0.03651793465668984
meaningful__total_read_time_ms,0.0353682641684442
meaningful__within_line_regression_count,0.035164716511875915
meaningful__progressive_count,0.034779226372422686
syllables__mean_sacc_peak_vel,0.03372180878156693
syllables__mean_sacc_avg_vel,0.03336254345695362
syllables__regression_count,0.03288697018161842
pseudo__within_line_regression_count,0.032052744249515576
pseudo__progressive_count,0.03173332046408225
syllables__sacc_count,0.031515144149266525
meaningful__regression_count,0.030272537592745417
pseudo__std_fix_dur,0.029754045914319915
meaningful__mean_sacc_ampl,0.029581481392480367
pseudo__sacc_count,0.029347072858287426
pseudo__fix_count,0.029324082402212993
pseudo__std_sacc_ampl,0.028745992992798015
syllables__within_line_regression_count,0.028653736775093624
pseudo__regression_ratio,0.028542040121489143
syllables__progressive_count,0.028509498794802107
meaningful__mean_fix_dur,0.028463305666453265
syllables__between_line_regression_count,0.028151796994996304
meaningful__fixation_rate_hz,0.027634982410333454
meaningful__between_line_regression_count,0.026376524215773207
meaningful__std_sacc_ampl,0.026287824825919254
pseudo__fixation_rate_hz,0.026166675035771747
meaningful__mean_sacc_avg_vel,0.026154375911435178
syllables__fixation_rate_hz,0.025083880120694884
syllables__fix_count,0.02494452791248779
meaningful__mean_sacc_peak_vel,0.024543537943430803
pseudo__regression_count,0.024459457518675932
syllables__mean_sacc_ampl,0.02406263374254604
pseudo__mean_sacc_ampl,0.023255853401925403
syllables__std_sacc_ampl,0.022847979715737064
syllables__total_read_time_ms,0.022247227406809053
meaningful__fix_count,0.021011570923050164
meaningful__std_fix_dur,0.019304641416781045
meaningful__ling_lexical_density,0.0
meaningful__ling_mean_zipf,0.0
meaningful__ling_n_sentences,0.0
meaningful__ling_mean_word_len,0.0
meaningful__ling_type_token_ratio,0.0
meaningful__ling_mean_sentence_len,0.0
meaningful__ling_mean_tree_depth,0.0
meaningful__ling_mean_dependency_distance,0.0
pseudo__ling_mean_tree_depth,0.0
pseudo__ling_n_tokens,0.0
meaningful__ling_min_zipf,0.0
meaningful__ling_std_zipf,0.0
pseudo__ling_n_sentences,0.0
pseudo__ling_mean_sentence_len,0.0
pseudo__ling_type_token_ratio,0.0
pseudo__ling_mean_word_len,0.0
syllables__ling_n_tokens,0.0
syllables__ling_n_sentences,0.0
syllables__ling_mean_word_len,0.0
syllables__ling_type_token_ratio,0.0
syllables__ling_mean_sentence_len,0.0
syllables__ling_mean_tree_depth,0.0
syllables__ling_mean_dependency_distance,0.0
syllables__ling_lexical_density,0.0
syllables__ling_mean_zipf,0.0
syllables__ling_std_zipf,0.0
syllables__ling_min_zipf,0.0
meaningful__ling_n_tokens,0.0
pseudo__ling_mean_dependency_distance,0.0
pseudo__ling_lexical_density,0.0
pseudo__ling_mean_zipf,0.0
pseudo__ling_std_zipf,0.0
pseudo__ling_min_zipf,0.0
