subject_id,class_id,reversal_rate_aligned,reversal_rate_random
1003,0,0.10577627271413803,0.4163967967033386
1009,1,0.679893434047699,0.38131168484687805
1016,0,0.26931169629096985,0.33471018075942993
1019,0,0.13976916670799255,0.4886912703514099
1021,1,0.6633378267288208,0.4665301442146301
1033,0,0.22015169262886047,0.4009981155395508
1038,1,0.4561059772968292,0.5972831845283508
1040,0,0.04324093833565712,0.3570150136947632
1058,0,0.07096926867961884,0.41803452372550964
1065,0,0.1721160113811493,0.5771158933639526
1073,0,0.09713546931743622,0.48515045642852783
1075,0,0.06987353414297104,0.3393435478210449
1082,1,0.5586481690406799,0.537133514881134
1090,0,0.2631911039352417,0.38433411717414856
1095,0,0.1488959789276123,0.42622023820877075
1109,0,0.15974846482276917,0.38009780645370483
1113,1,0.7326009273529053,0.3735469579696655
1115,1,0.6460973620414734,0.27878496050834656
1134,1,0.5779083371162415,0.28014686703681946
1145,0,0.16876649856567383,0.500895082950592
1160,0,0.16752375662326813,0.3151903450489044
1166,1,0.6529704332351685,0.4712495505809784
1169,0,0.1741749793291092,0.42041629552841187
1174,1,0.5244575142860413,0.5021207928657532
1186,0,0.09315678477287292,0.25936830043792725
1187,0,0.15523217618465424,0.3906852900981903
1189,0,0.07333539426326752,0.390415757894516
1209,0,0.024111807346343994,0.412422776222229
1235,0,0.15320511162281036,0.38537704944610596
1254,0,0.30813685059547424,0.22068007290363312
1255,0,0.19297432899475098,0.5558363795280457
1257,0,0.0763024166226387,0.5210588574409485
1258,0,0.17287179827690125,0.3827529847621918
1263,0,0.26258769631385803,0.39422041177749634
1271,0,0.1493503898382187,0.4634610116481781
1274,0,0.23258614540100098,0.3490511476993561
1284,0,0.08091278374195099,0.41209837794303894
1300,1,0.5298224687576294,0.31427663564682007
1312,1,0.5751131772994995,0.4268759787082672
1314,0,0.280282586812973,0.4010075330734253
1318,0,0.1354389488697052,0.38307246565818787
1322,0,0.1672498732805252,0.5633180141448975
1345,0,0.07961222529411316,0.38792839646339417
1349,1,0.7021992802619934,0.35428714752197266
1350,1,0.8117054104804993,0.3882456421852112
1377,0,0.16720208525657654,0.42631998658180237
1380,0,0.2962397336959839,0.4478329122066498
1398,0,0.12447865307331085,0.41130056977272034
1405,1,0.7671664953231812,0.30197498202323914
1417,1,0.6415919065475464,0.3234357535839081
1421,1,0.7925573587417603,0.3922508656978607
1459,1,0.8023090958595276,0.35367724299430847
1476,1,0.6626050472259521,0.3529949188232422
1571,1,0.6509253978729248,0.48741260170936584
1582,1,0.6959742903709412,0.4121187925338745
1591,1,0.5999569296836853,0.32513585686683655
1626,1,0.576227068901062,0.4501590132713318
1693,1,0.6343788504600525,0.3954208195209503
1729,1,0.6299904584884644,0.3795016407966614
1744,1,0.6542441844940186,0.45387890934944153
1760,1,0.6402516961097717,0.3344135582447052
1858,1,0.6743560433387756,0.3914627432823181
1859,1,0.6555725336074829,0.3935728967189789
1869,1,0.7714002132415771,0.5816723704338074
1879,1,0.6618165373802185,0.36999765038490295
1903,1,0.6798973083496094,0.4264504015445709
1913,1,0.6823462247848511,0.3298102915287018
1929,1,0.6571190357208252,0.597380518913269
1993,1,0.638622522354126,0.4107591509819031
1996,1,0.562939465045929,0.4334958493709564
