arm,accuracy,f1,auroc,brier,ece,n,n_pos,outer_fold
gaze_only,0.875,0.8888888888888888,0.875,0.12419753381186374,0.12418695719419871,8,4,0
gaze_only,0.75,0.75,0.78125,0.24838701590885795,0.24480806220012558,8,4,1
gaze_only,0.875,0.8888888888888888,0.875,0.12419753381186374,0.12418695719419871,8,4,2
gaze_only,0.625,0.4,0.75,0.3722731561322446,0.3724161337881038,8,4,3
gaze_only,1.0,1.0,1.0,8.587595204682128e-05,0.006853408902319844,8,4,4
gaze_only,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.32018266835170756,0.32454065381753794,6,3,5
gaze_only,0.8333333333333334,0.8,0.8333333333333334,0.1656236807090655,0.16561370209965098,6,3,6
gaze_only,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.1657438651958452,0.16959365204036017,6,3,7
gaze_only,1.0,1.0,1.0,9.978609414514603e-06,0.0031588937010470297,6,3,8
gaze_only,0.8333333333333334,0.8,0.7777777777777778,0.16584080844359192,0.1601015471735522,6,3,9
naive_aligned,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,0
naive_aligned,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,1
naive_aligned,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,2
naive_aligned,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,3
naive_aligned,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,4
naive_aligned,1.0,1.0,1.0,9.978609414514601e-06,0.0031588937010470297,6,3,5
naive_aligned,1.0,1.0,1.0,9.978609414514603e-06,0.0031588937010470297,6,3,6
naive_aligned,1.0,1.0,1.0,0.0002319162046823558,0.010771258487379925,6,3,7
naive_aligned,1.0,1.0,1.0,9.978609414514603e-06,0.0031588937010470297,6,3,8
naive_aligned,1.0,1.0,1.0,9.978609414514601e-06,0.0031588937010470297,6,3,9
honest_aligned,1.0,1.0,1.0,0.012471043811464026,0.10626131597755137,8,4,0
honest_aligned,1.0,1.0,1.0,0.021392962944770166,0.1284094360151019,8,4,1
honest_aligned,1.0,1.0,1.0,0.013696840503872943,0.10764780645817984,8,4,2
honest_aligned,1.0,1.0,1.0,0.022916336840361012,0.13931109226918403,8,4,3
honest_aligned,1.0,1.0,1.0,0.008429776419814818,0.09067928433946071,8,4,4
honest_aligned,1.0,1.0,1.0,0.018771817226673548,0.127129167596734,6,3,5
honest_aligned,1.0,1.0,1.0,0.01505364480497598,0.11105849207591435,6,3,6
honest_aligned,1.0,1.0,1.0,0.014380895332559767,0.11040128373440486,6,3,7
honest_aligned,1.0,1.0,1.0,0.00798533972552628,0.08936067691842861,6,3,8
honest_aligned,1.0,1.0,1.0,0.02224489685791194,0.1372860617809827,6,3,9
naive_random,0.875,0.8888888888888888,1.0,0.12332778155262877,0.12516045205945014,8,4,0
naive_random,0.625,0.5714285714285714,0.625,0.37257144820026106,0.37174782877679474,8,4,1
naive_random,1.0,1.0,1.0,8.29615316284085e-06,0.0027982464643897466,8,4,2
naive_random,0.75,0.6666666666666666,0.6875,0.2524261139817228,0.2708501404375227,8,4,3
naive_random,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,4
naive_random,1.0,1.0,1.0,7.5695512437254835e-06,0.002740329963972765,6,3,5
naive_random,0.8333333333333334,0.8,0.8333333333333334,0.16562317591375064,0.16561321171120982,6,3,6
naive_random,1.0,1.0,1.0,9.497867684335363e-06,0.003081758339849647,6,3,7
naive_random,0.8333333333333334,0.8,1.0,0.16037650158571357,0.16173400041830582,6,3,8
naive_random,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.3238797099011448,0.3264420199925085,6,3,9
honest_random,0.875,0.8888888888888888,0.8125,0.1265943268734802,0.2609032265896765,8,4,0
honest_random,0.75,0.75,0.625,0.20038359840397574,0.018459701422330055,8,4,1
honest_random,0.875,0.8888888888888888,0.90625,0.12541668030402037,0.12168880810014901,8,4,2
honest_random,0.625,0.4,0.90625,0.23890675273889062,0.16772128976743486,8,4,3
honest_random,1.0,1.0,1.0,0.06732365038047115,0.25157752783753706,8,4,4
honest_random,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.22314165099845362,0.05270604955111183,6,3,5
honest_random,0.8333333333333334,0.8,0.8333333333333334,0.14091659797735695,0.07562742921403631,6,3,6
honest_random,0.8333333333333334,0.8571428571428571,0.8888888888888888,0.14146113704458207,0.0875031652452334,6,3,7
honest_random,1.0,1.0,1.0,0.06480015725299314,0.25455380601059074,6,3,8
honest_random,0.8333333333333334,0.8,0.8888888888888888,0.1507979033610515,0.1807569618813429,6,3,9
